Data;BET;BET-NG (Energy);BET-FI (Financial);WIG;WIG IT;WIG ENERGY;WIG OIL&GAS;WIG FOOD;WIG CONSTRUCTION;WIG BANKS;WIG MEDIA;WIG CHEMICALS;BUX;BUMIX;PX;SOFIX;BG REIT
28-feb-2018;8.452,410;713,120;41.958,470;61.703,180;2.098,810;2.559,360;6.636,310;3.798,060;2.723,810;8.341,560;4.917,780;13.910,740;38.112,000;4.039,780;1.120,470;686,430;116,520
31-mar-2018;8.714,170;724,110;40.735,570;58.377,420;1.971,630;2.457,610;5.946,630;3.792,630;2.688,220;7.841,440;5.031,100;13.639,530;37.258,900;3.907,730;1.123,890;649,170;114,930
30-apr-2018;8.713,140;724,750;39.369,480;59.932,460;1.986,100;2.576,030;6.367,500;3.677,840;2.577,600;7.899,200;5.111,790;13.157,370;38.295,720;4.319,340;1.115,930;658,110;115,520
31-mai-2018;8.080,100;669,030;36.902,970;57.282,730;2.064,780;2.446,670;5.863,000;3.755,770;2.354,490;7.378,340;5.183,370;11.989,640;35.356,830;4.130,540;1.076,100;636,550;115,470
30-iun-2018;8.087,010;677,800;37.685,160;55.954,440;1.894,210;2.344,450;6.011,420;3.463,230;2.143,100;7.219,400;4.845,230;11.891,500;36.127,710;3.997,710;1.064,200;634,260;116,210
31-iul-2018;7.977,740;636,490;37.755,520;59.964,470;2.089,730;2.421,920;6.589,340;3.573,100;2.184,370;7.921,940;4.745,170;12.054,540;35.742,060;3.861,270;1.092,340;634,030;115,860
31-aug-2018;8.274,540;668,360;38.421,740;60.201,080;2.044,360;2.223,670;6.991,800;3.498,870;2.102,390;7.934,250;5.073,440;11.297,780;37.233,400;3.696,140;1.072,880;631,830;117,080
30-sept-2018;8.412,720;697,440;36.696,260;58.974,760;2.033,550;2.208,130;7.362,820;3.441,510;1.895,850;7.876,320;4.524,720;9.829,870;37.171,410;3.639,960;1.101,920;624,390;117,790
31-oct-2018;8.519,210;716,890;35.982,580;55.312,710;2.069,170;2.315,160;6.848,530;3.416,640;1.979,060;7.314,540;4.587,900;8.452,030;37.155,210;3.670,980;1.066,610;596,810;117,230
30-nov-2018;8.665,360;731,960;36.631,850;58.203,390;2.046,070;2.661,370;7.892,220;3.576,600;1.954,840;7.579,430;4.531,490;9.313,820;40.109,370;3.987,240;1.068,650;592,120;117,460
31-dec-2018;7.383,680;603,340;34.636,370;57.690,500;1.991,930;2.410,680;7.998,160;3.383,220;1.915,000;7.453,650;4.513,060;9.350,860;39.138,950;3.772,990;986,560;594,460;121,070
31-ian-2019;6.950,840;618,090;33.287,080;60.367,420;2.087,510;2.740,690;8.129,740;3.469,010;1.915,510;7.622,930;4.850,520;10.868,610;40.855,560;3.908,700;1.043,550;585,760;120,770
28-feb-2019;7.675,210;660,470;35.054,050;59.903,700;2.210,060;2.671,460;7.845,040;3.506,730;1.989,050;7.558,370;4.829,470;12.690,820;40.333,040;3.942,260;1.071,680;585,370;120,890
31-mar-2019;8.045,380;686,890;35.768,470;59.668,030;2.243,230;2.335,910;7.312,790;3.483,750;2.197,180;7.586,290;4.953,900;11.569,400;41.683,780;4.346,220;1.074,390;583,870;120,640
30-apr-2019;8.441,950;711,980;36.312,720;60.145,500;2.302,810;2.174,600;7.210,750;3.588,520;2.134,940;7.776,500;5.105,050;11.211,460;42.520,110;4.351,190;1.068,720;575,060;120,760
31-mai-2019;8.493,130;712,790;38.155,070;57.909,950;2.329,380;2.144,190;7.167,070;3.225,170;2.001,640;7.500,440;4.936,080;10.512,430;40.904,120;4.196,660;1.044,090;582,480;121,540
30-iun-2019;8.814,270;721,360;38.801,360;60.187,430;2.396,240;2.239,320;6.745,590;3.293,690;2.092,920;7.908,320;5.312,940;10.645,190;40.279,310;4.485,740;1.041,730;587,810;125,830
31-iul-2019;9.204,150;745,220;40.087,560;59.670,600;2.451,380;2.087,680;7.384,220;3.322,170;2.054,700;7.458,560;5.239,350;10.857,190;40.767,600;4.318,970;1.056,690;580,680;126,850
31-aug-2019;9.235,720;742,740;40.989,650;56.739,530;2.501,900;1.917,640;6.816,540;3.190,200;1.968,830;7.028,060;5.061,230;9.428,260;39.794,120;4.213,510;1.037,270;567,450;126,380
30-sept-2019;9.574,370;774,040;42.610,450;57.320,300;2.387,550;1.946,720;7.260,240;3.124,230;1.880,090;7.142,190;5.205,800;8.665,920;40.601,180;4.280,610;1.041,750;570,580;128,080
31-oct-2019;9.518,890;775,570;42.226,300;57.783,020;2.411,290;1.973,800;7.621,610;3.032,880;1.926,250;7.083,870;5.025,830;8.707,030;42.159,580;3.939,210;1.050,870;556,840;130,420
30-nov-2019;9.886,930;794,520;46.979,890;57.502,140;2.619,120;2.103,680;7.010,640;2.972,750;2.165,310;6.769,460;5.286,330;8.507,930;43.704,850;3.964,710;1.080,750;546,570;128,710
31-dec-2019;9.977,300;785,890;47.546,890;57.832,880;2.834,290;1.961,620;6.489,030;3.126,050;2.278,750;6.768,390;5.375,110;8.390,970;46.082,820;3.851,460;1.115,630;568,140;130,030
31-ian-2020;10.027,880;750,760;51.253,260;56.681,270;2.932,270;1.782,580;5.710,730;3.279,570;2.424,520;6.643,070;6.135,230;7.692,250;43.072,080;3.613,340;1.072,460;575,870;133,730
29-feb-2020;9.121,270;677,180;45.572,400;49.276,540;2.834,080;1.346,500;4.544,120;3.023,240;2.179,680;5.891,590;5.728,440;6.583,490;40.229,640;3.399,230;977,110;550,250;136,390
31-mar-2020;7.625,380;580,320;39.441,940;41.624,620;2.663,120;1.219,860;4.347,450;2.543,290;1.928,430;4.154,680;4.131,820;5.980,660;33.134,870;2.903,410;789,880;419,350;125,070
30-apr-2020;7.978,640;619,490;40.419,360;46.117,000;3.150,000;1.343,980;4.890,530;2.907,750;2.324,420;3.951,940;4.822,300;7.865,950;35.180,900;3.305,200;873,170;447,450;132,940
31-mai-2020;8.701,290;686,630;44.087,070;48.127,640;3.388,880;1.469,390;5.190,570;3.040,700;2.669,200;3.974,090;5.221,290;8.500,930;35.875,710;3.546,920;895,520;452,710;133,450
