;SOFIX;BG REIT
02-sept-2021;562,77;163,73
01-sept-2021;565,11;163,55
31-aug-2021;566,1;164,37
30-aug-2021;572,52;164,88
27-aug-2021;569,8;164,75
26-aug-2021;571,59;164,53
25-aug-2021;570,68;164,55
24-aug-2021;573,39;164,11
23-aug-2021;565,93;164,21
20-aug-2021;572,43;164,61
19-aug-2021;575,55;164,64
18-aug-2021;579,67;165,49
17-aug-2021;571,9;165,02
16-aug-2021;583,37;165,02
13-aug-2021;582,59;165,33
12-aug-2021;583,64;164,98
11-aug-2021;579,5;164,82
10-aug-2021;579,99;164,48
09-aug-2021;580,86;164,35
06-aug-2021;580,27;164,22
05-aug-2021;578,38;163,84
04-aug-2021;573,39;164,22
03-aug-2021;575,63;163,72
02-aug-2021;572,65;162,74
30-iul-2021;570,44;162,35
29-iul-2021;570,87;161,24
28-iul-2021;572,22;160,81
27-iul-2021;563,76;159,24
26-iul-2021;568,39;158,93
23-iul-2021;564,77;157,52
22-iul-2021;559,95;156,88
21-iul-2021;563,18;157,51
20-iul-2021;563,86;157,42
19-iul-2021;563,26;157,59
16-iul-2021;566,04;157,90
15-iul-2021;564,18;157,65
14-iul-2021;563,4;157,59
13-iul-2021;565,86;157,08
12-iul-2021;563,91;156,29
09-iul-2021;561,27;155,65
08-iul-2021;555,09;155,30
07-iul-2021;553,86;155,47
06-iul-2021;548,43;154,87
05-iul-2021;552,02;155,55
02-iul-2021;550,76;155,60
01-iul-2021;555,62;154,26
30-iun-2021;557,69;154,04
29-iun-2021;550,36;153,08
28-iun-2021;556,14;154,60
25-iun-2021;556,03;154,22
24-iun-2021;554,54;153,33
23-iun-2021;550,18;153,82
22-iun-2021;550,21;154,27
21-iun-2021;557,84;153,76
18-iun-2021;551,89;153,48
17-iun-2021;550,74;153,33
16-iun-2021;548;153,05
15-iun-2021;547,41;152,88
14-iun-2021;544,7;152,57
11-iun-2021;542,48;152,88
10-iun-2021;541,56;151,72
09-iun-2021;538,12;152,01
08-iun-2021;535,17;151,72
07-iun-2021;536,2;151,64
04-iun-2021;540,64;151,50
03-iun-2021;541,27;151,37
02-iun-2021;534,77;151,72
01-iun-2021;529,62;151,57
31-mai-2021;527,61;151,21
28-mai-2021;528,59;151,72
27-mai-2021;531,57;152,19
26-mai-2021;531,89;151,46
25-mai-2021;532,52;151,18
21-mai-2021;534,08;151,60
20-mai-2021;524,43;151,97
19-mai-2021;524,5;151,88
18-mai-2021;519,93;150,83
17-mai-2021;520,95;150,78
14-mai-2021;522,39;151,32
13-mai-2021;519,91;150,01
12-mai-2021;517,68;149,46
11-mai-2021;515,34;147,24
10-mai-2021;519,87;147,53
07-mai-2021;518,05;146,88
05-mai-2021;522,74;146,95
29-apr-2021;522,39;146,81
28-apr-2021;523,94;146,80
27-apr-2021;522,41;146,64
26-apr-2021;519,88;145,35
23-apr-2021;519,93;145,67
22-apr-2021;519,18;145,70
21-apr-2021;521,7;145,23
20-apr-2021;521,54;145,53
19-apr-2021;520,57;144,92
16-apr-2021;513,66;144,92
15-apr-2021;514,3;144,43
14-apr-2021;506,32;143,95
13-apr-2021;506,5;143,81
12-apr-2021;507,86;143,86
09-apr-2021;504,28;143,73
08-apr-2021;508,66;143,46
07-apr-2021;503,78;145,28
06-apr-2021;501,51;145,56
01-apr-2021;499,98;146,54
31-mar-2021;502,28;147,43
30-mar-2021;500,02;147,73
29-mar-2021;500,24;147,04
26-mar-2021;499,91;146,48
25-mar-2021;495,55;145,44
24-mar-2021;494,29;145,74
23-mar-2021;492,68;145,42
22-mar-2021;490,36;144,50
19-mar-2021;491,03;144,53
18-mar-2021;493,48;144,68
17-mar-2021;493,84;144,68
16-mar-2021;491,55;145,16
15-mar-2021;488,47;144,85
12-mar-2021;491,26;145,16
11-mar-2021;492,44;145,32
10-mar-2021;487,49;145,01
09-mar-2021;488,05;145,68
08-mar-2021;494,08;145,01
05-mar-2021;493,78;145,67
04-mar-2021;495,18;145,34
02-mar-2021;498,53;145,67
01-mar-2021;502,34;145,59
26-feb-2021;495,58;143,15
25-feb-2021;497,92;144,23
24-feb-2021;498,02;144,39
23-feb-2021;497,65;143,92
22-feb-2021;498,45;144,23
19-feb-2021;501,36;144,23
18-feb-2021;500,53;143,70
17-feb-2021;499,76;144,01
16-feb-2021;499,09;143,85
15-feb-2021;494,79;144,01
12-feb-2021;496,75;143,87
11-feb-2021;491,21;144,18
10-feb-2021;494,34;142,42
09-feb-2021;496,3;143,56
08-feb-2021;494,39;143,56
05-feb-2021;494,51;143,87
04-feb-2021;498,34;143,72
03-feb-2021;502,5;143,57
02-feb-2021;500,3;143,74
01-feb-2021;497,38;143,08
29-ian-2021;499,38;143,08
28-ian-2021;498,9;141,95
27-ian-2021;506,98;144,05
26-ian-2021;504,69;143,72
25-ian-2021;503,37;144,06
22-ian-2021;502,3;142,44
21-ian-2021;499,85;141,32
20-ian-2021;488,73;140,34
19-ian-2021;476,94;140,19
18-ian-2021;470,35;139,72
15-ian-2021;465,71;139,57
14-ian-2021;457,4;138,78
13-ian-2021;454,77;138,31
12-ian-2021;452,5;137,53
11-ian-2021;453,92;137,67
08-ian-2021;451,31;137,84
07-ian-2021;449,88;137,52
06-ian-2021;447,45;137,04
05-ian-2021;449,47;137,22
04-ian-2021;446,94;137,22
30-dec-2020;447,53;137,69
29-dec-2020;446,79;136,99
23-dec-2020;444,67;136,99
22-dec-2020;443,12;136,83
21-dec-2020;441,78;136,46
18-dec-2020;442,3;136,14
17-dec-2020;439,59;136,14
16-dec-2020;439,89;136,14
15-dec-2020;437,68;135,97
14-dec-2020;438,26;135,80
11-dec-2020;438,45;135,65
10-dec-2020;436,78;135,97
09-dec-2020;437,44;135,63
08-dec-2020;435,29;135,63
07-dec-2020;433,18;135,65
04-dec-2020;429,25;135,16
03-dec-2020;426,91;135,17
02-dec-2020;427,28;134,86
